title;weight;short;question;ccp_rating;ccp_confidence;ipm_rating;ipm_confidence
ABC - Using fairy dust (IPM) instead of glyphosate (CCP) on lettuce crops;50;crop value;Crop value loss when using the technology/package is:;low impact;H;low impact;H
;12.5;health and safety;Worker (non-applicators) and/or consumer exposure to health and/or safety risks is: ;medium impact;H;low impact;M
;12.5;direct costs;The cost of the technology/package to implement is: ;very low impact;H;low impact;M
;12.5;environment;The potential environmental impact of package implementation is: ;low impact;H;medium impact;M
;6.25;time and management;The time and/or effort requirement of the user to implement and/or maintain the effectiveness of the technology/package is: ;very low impact;H;low impact;H
;6.25;coordination requirements;The coordination required for the technology/package to be effective is: ;very low impact;H;low impact;M
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
